Book ID,Title,Author,Genre,Copies
76,Beyond Secret,Amish Tripathi,Education,1
77,Quest Truth Silent,Anita Desai,Technology,4
78,Winds Love,Savi Sharma,Biography,5
79,Echoes Dawn,Dr. A.P.J. Abdul Kalam,Fantasy,10
80,Dreams Echoes Journey Life,Sudha Murty,Fantasy,6
81,Journey Edge Light Dreams,Leo Tolstoy,Romance,5
82,Flames Journey Beyond Dawn,Dr. A.P.J. Abdul Kalam,Education,4
83,Dreams Flames Beyond Silent,Leo Tolstoy,Science,10
84,Flames Power Quest,Kiran Desai,Philosophy,4
85,Secret Echoes Light Winds,Dan Brown,Self-Help,1
86,Beyond Love,George R.R. Martin,Technology,7
87,Edge Love Power,Sudha Murty,Technology,5
88,Beyond Love,Devdutt Pattanaik,Self-Help,10
89,Edge Flames Quest Echoes,Sudha Murty,Philosophy,6
90,Flames Journey Quest Light,Anita Desai,Mystery,4
91,Secret Winds,Arundhati Roy,Fiction,4
92,Life Winds Journey Light,Mark Twain,History,10
93,Dawn Shadow Echoes,Chetan Bhagat,Spirituality,2
94,Light Whispers,Khushwant Singh,Fantasy,1
95,Truth Dreams,Anita Desai,Self-Help,9
96,Journey The Echoes Secret,Anita Desai,Education,9
97,Echoes Secret The,Ernest Hemingway,Technology,10
98,Quest Whispers,Preeti Shenoy,Philosophy,4
99,Beyond The,Kiran Desai,Spirituality,3
100,Winds Love Beyond,Ravinder Singh,Spirituality,1
101,Power Secret,Dan Brown,Mystery,4
102,Beyond Life Silent,Arundhati Roy,Fiction,9
103,Secret Beyond Light Echoes,Anita Desai,Philosophy,6
104,Beyond Dawn,Ruskin Bond,Mystery,3
105,Power Silent Edge Light,Khushwant Singh,Philosophy,2
106,Light The Dawn Quest,Arundhati Roy,Romance,9
107,Quest Silent Truth Dawn,Kiran Desai,Spirituality,2
108,Legacy Echoes Silent,F. Scott Fitzgerald,History,10
109,Dreams Dawn Light,Ravinder Singh,Mythology,4
110,Secret Light Flames,R.K. Narayan,Education,5
111,Edge Dawn,Preeti Shenoy,Mystery,10
112,Dawn Secret Dreams,Ernest Hemingway,Fiction,4
113,Dreams Love The,Khushwant Singh,Biography,3
114,The Flames Truth Quest,Dr. A.P.J. Abdul Kalam,Fiction,3
115,Beyond Dreams Edge Secret,Mark Twain,Biography,2
116,Love Legacy Silent,Savi Sharma,Fiction,10
117,Light Power Truth Beyond,Anita Desai,Spirituality,3
118,Echoes Light Life,Charles Dickens,Romance,6
119,Dawn Flames,Savi Sharma,Mystery,1
120,Love Beyond,Devdutt Pattanaik,Romance,4
121,Edge Journey Dawn Quest,Ravinder Singh,Philosophy,10
122,Legacy Light Journey,Chetan Bhagat,Spirituality,8
123,Secret Life,Arundhati Roy,Philosophy,2
124,Dawn Truth Power Edge,Kiran Desai,Mystery,5
125,Silent Winds Whispers Beyond,George R.R. Martin,Self-Help,6
126,Echoes Power Shadow,Mark Twain,Self-Help,3
127,Silent Legacy Truth Dawn,Anita Desai,Spirituality,8
128,Edge Echoes Life,Vikram Seth,Philosophy,1
129,Shadow Echoes,Sudha Murty,Romance,7
130,Shadow Winds Light Power,Vikram Seth,Mythology,8
131,Edge Shadow The,Ruskin Bond,Fantasy,8
132,Light The Whispers,Savi Sharma,Technology,6
133,Light Winds Dawn,Ravinder Singh,Biography,9
134,Light Dawn Whispers Life,Devdutt Pattanaik,History,6
135,Dawn Echoes Secret Edge,Stephen King,Mystery,2
136,Shadow Echoes Power Winds,Savi Sharma,Fantasy,1
137,Dreams Power,Ernest Hemingway,Mystery,4
138,Shadow Power,R.K. Narayan,Fantasy,7
139,Truth Dreams Dawn,Dr. A.P.J. Abdul Kalam,Biography,2
140,Secret Journey Winds Whispers,Savi Sharma,Education,5
141,Quest Journey Whispers,Preeti Shenoy,Self-Help,2
142,The Life Legacy Winds,Agatha Christie,Science,4
143,Life Flames Love,Charles Dickens,Technology,7
144,Dawn Shadow Winds Edge,Haruki Murakami,Spirituality,8
145,Secret Dreams,Savi Sharma,Mythology,10
146,Echoes Edge,Chetan Bhagat,Mythology,6
147,Secret Whispers Edge,Kiran Desai,Education,3
148,Dawn Journey Truth Beyond,F. Scott Fitzgerald,Science,9
149,Truth Love Power,Savi Sharma,Mystery,6
150,Quest Love,Sudha Murty,Fantasy,7
151,Life Echoes Flames,Chetan Bhagat,History,4
152,Echoes Beyond Edge,Amish Tripathi,Fiction,9
153,Secret Truth,Vikram Seth,Mythology,6
154,Love Dawn Light Flames,George R.R. Martin,Fantasy,5
155,Beyond Love,Ernest Hemingway,Philosophy,3
156,Quest Secret Winds,Sudha Murty,Fantasy,10
157,Shadow Power,Paulo Coelho,Romance,9
158,The Secret Light Edge,Jane Austen,Fantasy,7
159,Dreams Silent Truth Edge,R.K. Narayan,Biography,9
160,Echoes Quest Love Light,Vikram Seth,Self-Help,4
161,Winds Quest Dreams Whispers,Amish Tripathi,Spirituality,2
162,Flames Secret Power,Ravinder Singh,Spirituality,3
163,Truth Secret Love,Jane Austen,Science,9
164,Journey Whispers Love,Preeti Shenoy,Mystery,7
165,Journey Quest Dawn Light,Preeti Shenoy,Mystery,6
166,Light Truth Quest Legacy,Savi Sharma,Science,3
167,Light Dawn Power,Dr. A.P.J. Abdul Kalam,Education,5
168,Beyond Love Echoes,Sudha Murty,Mythology,6
169,Life Love Whispers,Khushwant Singh,Mystery,1
170,Flames Love,Kiran Desai,Fantasy,5
171,Shadow Truth Flames,Devdutt Pattanaik,Spirituality,2
172,Legacy Dawn Echoes Whispers,Khushwant Singh,Romance,1
173,Whispers Shadow Love Secret,Vikram Seth,Romance,6
174,Life Whispers,Ruskin Bond,Spirituality,1
175,Echoes Journey,R.K. Narayan,Philosophy,6
176,Dreams Flames,Devdutt Pattanaik,Technology,10
177,Secret Dawn,Ruskin Bond,Mystery,4
178,Quest Power,Vikram Seth,Science,3
179,Dreams The,Arthur Conan Doyle,Spirituality,10
180,Light Quest Power,Devdutt Pattanaik,Fantasy,10
181,Winds Beyond,Khushwant Singh,Science,10
182,Flames Secret Shadow Beyond,Ravinder Singh,Technology,9
183,Dawn Secret Flames Whispers,Stephen King,Romance,7
184,Light Journey Love,Ruskin Bond,Fiction,4
185,Quest Flames,Savi Sharma,Mystery,5
186,Edge Silent Echoes Truth,Chetan Bhagat,Science,10
187,Flames Secret Dawn Shadow,Kiran Desai,Mystery,5
188,Secret Dawn The Beyond,Dr. A.P.J. Abdul Kalam,Technology,10
189,Life Legacy,Devdutt Pattanaik,History,4
190,Love Legacy Edge Life,George Orwell,Mystery,2
191,Whispers Dreams Truth,Anita Desai,Philosophy,4
192,Light Legacy Beyond Quest,George Orwell,Biography,3
193,Shadow Life,Kiran Desai,Technology,5
194,Beyond Truth Power,Leo Tolstoy,Biography,5
195,Flames Legacy,Preeti Shenoy,Education,7
196,Dreams Truth,Jane Austen,Science,9
197,The Beyond Journey,Arundhati Roy,Romance,10
198,Truth Dreams Dawn Secret,Amish Tripathi,Fiction,3
199,Life Journey,Vikram Seth,Education,2
200,Shadow Winds,Arundhati Roy,Science,6
201,Legacy The Edge,Vikram Seth,Mythology,2
202,Dreams Life Light,Anita Desai,Self-Help,2
203,Journey Light Echoes,Dr. A.P.J. Abdul Kalam,Mythology,9
204,Winds Power,Arundhati Roy,Spirituality,4
205,Love Legacy Truth Silent,Arundhati Roy,Mystery,1
206,Light Shadow Flames Silent,Ruskin Bond,Fantasy,10
207,Dawn Silent,Amish Tripathi,Mythology,9
208,Legacy Life Secret Journey,Anita Desai,Mystery,2
209,Winds Love Flames,Ravinder Singh,Biography,5
210,Power The Whispers,Ravinder Singh,Philosophy,8
211,Legacy Shadow,Chetan Bhagat,Philosophy,7
212,Echoes Journey,Stephen King,Spirituality,5
213,Winds Secret,Kiran Desai,Romance,7
214,Whispers Echoes,Amish Tripathi,Self-Help,3
215,Light Love,Devdutt Pattanaik,Biography,10
216,Edge Echoes Life Light,Haruki Murakami,Education,6
217,Truth Beyond Dreams Legacy,Anita Desai,Biography,4
218,Echoes Life Dawn,Devdutt Pattanaik,Fantasy,3
219,The Journey Light Echoes,Khushwant Singh,Science,4
220,Shadow Beyond Quest,Vikram Seth,Education,8
221,The Echoes,Anita Desai,Technology,4
222,Dawn Power Flames Whispers,Ruskin Bond,Philosophy,3
223,Truth Journey Flames Power,George Orwell,Biography,6
224,Power Secret Flames,Amish Tripathi,Romance,6
225,Echoes Dreams Edge Light,George Orwell,Biography,4
226,Shadow Silent Whispers Life,Paulo Coelho,Technology,2
227,Truth Quest Secret,Paulo Coelho,Spirituality,2
228,Life Flames,Sudha Murty,Mystery,10
229,Shadow Dreams Quest Edge,Devdutt Pattanaik,Self-Help,3
230,Shadow Quest,Preeti Shenoy,History,1
231,Light Whispers,Anita Desai,History,9
232,Light Dawn Whispers,Sudha Murty,Mystery,1
233,Journey Shadow Edge Light,Preeti Shenoy,Self-Help,1
234,Truth Dreams,Ravinder Singh,History,10
235,Truth Whispers Flames Winds,Anita Desai,Philosophy,6
236,Dreams Shadow The,Stephen King,Mystery,6
237,Quest Secret Shadow,Ravinder Singh,Mystery,10
238,Journey Shadow Legacy The,Ruskin Bond,Mystery,1
239,Dreams Whispers Secret Legacy,Ernest Hemingway,Technology,9
240,Beyond Love,Chetan Bhagat,Mythology,8
241,Life Echoes,Amish Tripathi,Philosophy,2
242,Power Secret,Arundhati Roy,Science,6
243,Life Secret Winds Legacy,Agatha Christie,Romance,2
244,Dreams Flames,Khushwant Singh,Fantasy,4
245,Beyond Silent Life,Dan Brown,Mythology,6
246,Dreams Echoes,Sudha Murty,Mystery,4
247,Love Truth Shadow Journey,Dan Brown,Romance,9
248,Truth Echoes Light,Chetan Bhagat,Technology,1
249,Life The Beyond,Vikram Seth,Technology,8
250,The Journey,Agatha Christie,Spirituality,9
251,Shadow Power Silent Edge,Agatha Christie,Self-Help,5
252,Legacy The Echoes,Devdutt Pattanaik,Mystery,9
253,The Edge Whispers,Savi Sharma,Science,10
254,Echoes Secret Silent,Khushwant Singh,Science,7
255,Echoes Dawn,Kiran Desai,Science,7
256,Echoes The Shadow Flames,Ruskin Bond,Romance,10
257,Dreams Light Shadow,Ernest Hemingway,Fantasy,4
258,Winds Power Shadow Life,J.K. Rowling,Biography,7
259,Love Truth Secret,Amish Tripathi,Philosophy,4
260,Quest Silent,R.K. Narayan,Mystery,2
261,Beyond Journey Winds,Chetan Bhagat,Education,6
262,Light Love Dreams,Devdutt Pattanaik,Fiction,10
263,Winds Whispers,Kiran Desai,Fiction,1
264,Dawn Journey Legacy,Dr. A.P.J. Abdul Kalam,Biography,8
265,Whispers Dreams,Sudha Murty,Fiction,1
266,Power Edge,Devdutt Pattanaik,Biography,7
267,Quest Power,Arundhati Roy,Self-Help,10
268,Echoes Flames,Paulo Coelho,Philosophy,9
269,Whispers Shadow Echoes,Dan Brown,Fiction,9
270,Echoes Beyond,Sudha Murty,Self-Help,10
271,Winds Whispers Journey Dawn,Ruskin Bond,Self-Help,7
272,Light Love Truth,Vikram Seth,Spirituality,5
273,Flames Light Power,Agatha Christie,Spirituality,1
274,Love Shadow Dawn Quest,Devdutt Pattanaik,Philosophy,2
275,Life Dawn,Khushwant Singh,Technology,1
276,Power Light,Vikram Seth,Spirituality,9
277,Power Journey Secret,Khushwant Singh,Mythology,4
278,Legacy Truth,Chetan Bhagat,Mystery,6
279,Silent Quest Truth,Khushwant Singh,Romance,6
280,Echoes Love Life,Ravinder Singh,Spirituality,7
281,Quest Journey Flames,J.K. Rowling,Education,8
282,Dawn Silent,Mark Twain,Self-Help,7
283,Winds Truth Legacy,George R.R. Martin,Technology,6
284,Shadow Echoes,Jane Austen,History,3
285,Whispers Dawn,George Orwell,Spirituality,8
286,Dreams Journey,Stephen King,Technology,5
287,Beyond Winds Light Echoes,Ruskin Bond,Romance,5
288,Life The Dawn,Vikram Seth,Biography,5
289,Shadow Echoes Love Life,Dr. A.P.J. Abdul Kalam,History,6
290,Edge Quest Light,Preeti Shenoy,Self-Help,5
291,Quest Echoes Light Dawn,F. Scott Fitzgerald,Mythology,10
292,The Whispers Love Dreams,Kiran Desai,Science,4
293,Silent Quest Whispers,Dr. A.P.J. Abdul Kalam,Biography,3
294,Love Whispers Shadow Silent,Khushwant Singh,Fiction,10
295,Edge The,J.K. Rowling,Education,4
296,Life Dreams,George Orwell,Romance,10
297,Life Dreams,Amish Tripathi,Mythology,4
298,Whispers Flames,Anita Desai,Mythology,9
299,Legacy Dreams,J.K. Rowling,Spirituality,8
300,Power Echoes,Dr. A.P.J. Abdul Kalam,Science,2
301,Life Truth,Sudha Murty,Philosophy,4
302,Love The Journey Truth,Sudha Murty,Biography,7
303,Truth Edge,Dan Brown,Spirituality,4
304,Echoes Beyond,Anita Desai,Science,7
305,Truth Edge,Anita Desai,Spirituality,5
306,Love Dreams,Kiran Desai,Fantasy,9
307,The Power Quest,Ruskin Bond,Mythology,3
308,Flames Life,Dan Brown,Biography,1
309,Winds Whispers Secret,Anita Desai,Mystery,7
310,Whispers Power,Ruskin Bond,Technology,6
311,Echoes Power,Ruskin Bond,Philosophy,7
312,Power Whispers,J.K. Rowling,Education,7
313,Journey Legacy Quest,Jane Austen,Fantasy,2
314,Journey Power,Amish Tripathi,Technology,10
315,Beyond Love Legacy Dawn,Paulo Coelho,History,4
316,Truth Whispers Shadow Edge,Ruskin Bond,Self-Help,3
317,The Light Love Winds,Savi Sharma,Fiction,5
318,Beyond Flames Light,Ravinder Singh,Biography,5
319,Power Edge Light Winds,Ruskin Bond,Science,9
320,Flames Edge Whispers,Ravinder Singh,Spirituality,3
321,Edge Love Silent Truth,Dr. A.P.J. Abdul Kalam,Philosophy,1
322,Quest Love,Kiran Desai,Spirituality,3
323,Dawn Life Secret,Haruki Murakami,Fantasy,2
324,Beyond Whispers The,Dan Brown,Self-Help,2
325,Flames Silent Beyond,Amish Tripathi,Self-Help,5
326,Silent Truth Light,Ravinder Singh,Biography,8
327,Whispers Silent Beyond Shadow,Anita Desai,Technology,5
328,Edge Shadow,Ravinder Singh,Self-Help,4
329,Beyond Light Silent,Khushwant Singh,Education,9
330,Power Shadow Quest The,Savi Sharma,Technology,1
331,Flames Dawn,Chetan Bhagat,History,2
332,Love Truth Secret Flames,Jane Austen,Science,9
333,Legacy Silent Flames Love,Khushwant Singh,Education,7
334,Edge Life Dreams,Vikram Seth,Technology,10
335,Quest Edge Beyond,Charles Dickens,Romance,7
336,Dawn Shadow Secret Journey,Ruskin Bond,Spirituality,5
337,Love Dawn,Dr. A.P.J. Abdul Kalam,Biography,1
338,Dreams Dawn,George R.R. Martin,Philosophy,3
339,Whispers Shadow,Ruskin Bond,Technology,7
340,Truth Dreams,Kiran Desai,Fiction,7
341,Winds Quest Echoes,Ravinder Singh,Fiction,2
342,Silent Life Journey,Ravinder Singh,Biography,3
343,Echoes Silent,Kiran Desai,Biography,8
344,Flames Beyond Dreams Journey,Vikram Seth,Education,10
345,Winds Dreams Quest Power,Ravinder Singh,Romance,9
346,Whispers Secret,Sudha Murty,Romance,8
347,The Truth Whispers,Arthur Conan Doyle,Mystery,3
348,Legacy Journey Quest Edge,Chetan Bhagat,Philosophy,7
349,Life Flames,Savi Sharma,Spirituality,8
350,Beyond Whispers Legacy,Ravinder Singh,Mythology,4
351,Legacy Power,Amish Tripathi,Fantasy,4
352,Love Quest The,F. Scott Fitzgerald,Education,4
353,Secret Truth The,Chetan Bhagat,Science,8
354,Truth Dreams,R.K. Narayan,Self-Help,5
355,Dreams Beyond Winds Flames,Chetan Bhagat,Mythology,2
356,Light Secret Edge,F. Scott Fitzgerald,Biography,1
357,Light Power Life,Dr. A.P.J. Abdul Kalam,Mystery,4
358,Journey The Love,George Orwell,History,4
359,Life Echoes Beyond Power,Dr. A.P.J. Abdul Kalam,Mystery,10
360,The Shadow,Devdutt Pattanaik,Fantasy,7
361,Shadow Journey Truth,Dr. A.P.J. Abdul Kalam,Fantasy,7
362,Quest Journey Life Whispers,Preeti Shenoy,Science,10
363,Love Edge Light,Ruskin Bond,Education,10
364,Truth Echoes,Paulo Coelho,Mystery,6
365,Dawn Dreams Whispers Truth,Ravinder Singh,History,4
366,Edge Dawn,Dan Brown,Mythology,2
367,Love Shadow,Dan Brown,Self-Help,8
368,Silent Dreams,Savi Sharma,Fiction,9
369,Love The,Paulo Coelho,Mythology,1
370,Edge Dreams Quest,Leo Tolstoy,Spirituality,4
371,Journey Love The,Ruskin Bond,Education,1
372,Edge Winds Love Dreams,Arundhati Roy,Biography,4
373,Secret Flames,Anita Desai,Romance,10
374,Dreams Edge,Chetan Bhagat,Fantasy,9
375,Beyond Journey Silent Life,J.K. Rowling,Science,10
376,Secret Dawn,George Orwell,Biography,2
377,Winds Edge The,Paulo Coelho,Technology,2
378,Silent Journey,Ruskin Bond,Biography,8
379,Beyond Life,Kiran Desai,Fantasy,9
380,Truth Dawn Echoes,Savi Sharma,Spirituality,3
381,Power Beyond Journey Echoes,Savi Sharma,Fantasy,5
382,Power Love Flames Light,Vikram Seth,Biography,6
383,Shadow Quest Echoes Beyond,Mark Twain,Philosophy,2
384,Journey Dreams Flames,Kiran Desai,Spirituality,10
385,Quest Flames,Vikram Seth,Mystery,6
386,Power Legacy Beyond,Leo Tolstoy,Romance,4
387,Winds Beyond Journey Quest,Sudha Murty,Mystery,10
388,Power Secret Dreams Silent,Charles Dickens,Spirituality,8
389,Truth Silent,Sudha Murty,Fantasy,4
390,Life Echoes Dreams,Jane Austen,Science,9
391,Journey Edge Flames,Khushwant Singh,Fiction,2
392,Edge Dreams,Paulo Coelho,History,7
393,Power Edge Winds,Preeti Shenoy,Fantasy,6
394,Love Edge Shadow Light,Anita Desai,Science,1
395,Winds Dreams,Devdutt Pattanaik,Self-Help,8
396,Beyond Journey,Vikram Seth,Biography,4
397,Journey Dawn Dreams,Dr. A.P.J. Abdul Kalam,Technology,3
398,Quest The Light Secret,Ravinder Singh,Mythology,1
399,Journey Power Shadow,George Orwell,Romance,9
400,Dreams Secret,Leo Tolstoy,Education,2
401,Power The Silent Beyond,Ravinder Singh,Mythology,9
402,Journey Silent,Jane Austen,Fantasy,5
403,Light Journey Truth Dreams,R.K. Narayan,Romance,9
404,Love Life Dreams,Kiran Desai,Spirituality,6
405,Truth Light Whispers,Anita Desai,Fantasy,6
406,Silent Echoes,Amish Tripathi,Science,1
407,Dawn Life,Dr. A.P.J. Abdul Kalam,Fiction,6
408,Light Journey Edge Power,Amish Tripathi,Fantasy,6
409,Love Power,Devdutt Pattanaik,Technology,2
410,Whispers Journey,Khushwant Singh,Education,4
411,Life The Shadow,Devdutt Pattanaik,Self-Help,3
412,Love Life Dawn,Ernest Hemingway,Technology,2
413,Echoes Legacy Secret,Devdutt Pattanaik,Self-Help,7
414,Journey Dreams Life Love,Agatha Christie,Biography,7
415,Legacy Secret Dreams,Arundhati Roy,Spirituality,9
416,Legacy Life,Dr. A.P.J. Abdul Kalam,Romance,10
417,Whispers Silent Shadow,Khushwant Singh,Philosophy,3
418,Love Flames,Agatha Christie,Biography,1
419,Winds Journey Flames,R.K. Narayan,Self-Help,3
420,Secret Flames Echoes,Mark Twain,Education,10
421,Flames Dawn Light Edge,Amish Tripathi,Philosophy,10
422,Truth Light Dawn Quest,Ernest Hemingway,Science,3
423,Edge Power,Agatha Christie,Self-Help,2
424,Dreams Love,Ravinder Singh,History,5
425,Power Whispers,Khushwant Singh,Mythology,2
426,Journey Dreams The Shadow,Savi Sharma,Education,1
427,The Truth Silent,R.K. Narayan,Mythology,8
428,Winds Flames Whispers,R.K. Narayan,Fantasy,3
429,Power Truth Secret Legacy,Haruki Murakami,Fantasy,10
430,The Winds Legacy,Agatha Christie,Mystery,1
431,Winds Secret Edge,Arthur Conan Doyle,Fantasy,10
432,Love Dreams Beyond Life,R.K. Narayan,Fiction,4
433,Edge Dawn Whispers Winds,Vikram Seth,Technology,4
434,Power Life Winds Echoes,Agatha Christie,Science,6
435,Truth Power Flames Legacy,George Orwell,Mystery,4
436,Power Journey,Savi Sharma,Mythology,8
437,Secret Love,Jane Austen,Spirituality,6
438,Life Echoes The Whispers,Dr. A.P.J. Abdul Kalam,Philosophy,7
439,Winds Secret Shadow Truth,Anita Desai,Mythology,3
440,Life Edge,Ernest Hemingway,Spirituality,10
441,Truth Edge Flames,Khushwant Singh,Education,5
442,Flames Legacy Dawn,Preeti Shenoy,Fantasy,3
443,Truth Dawn,Dr. A.P.J. Abdul Kalam,Philosophy,2
444,Silent Life Legacy Echoes,Ravinder Singh,Mystery,4
445,Love Flames Winds Journey,Anita Desai,Mythology,4
446,Life Light Whispers,Ravinder Singh,Mystery,1
447,Light Edge,R.K. Narayan,Biography,4
448,Quest Shadow Dreams Dawn,Jane Austen,Mystery,5
449,Life The Journey Silent,Ruskin Bond,Biography,2
450,Secret Power Quest Flames,Dr. A.P.J. Abdul Kalam,Fantasy,3
451,Truth Love,Jane Austen,Philosophy,5
452,Light Silent Dawn Journey,Khushwant Singh,Romance,8
453,Secret Winds Beyond Flames,Preeti Shenoy,Philosophy,9
454,The Dreams Shadow Dawn,Haruki Murakami,Education,7
455,Beyond Whispers,Amish Tripathi,Spirituality,4
456,Life Light,Ravinder Singh,Biography,4
457,Echoes Power Life,Arthur Conan Doyle,Romance,2
458,Beyond Truth Winds Journey,Savi Sharma,Self-Help,3
459,Love Quest Light,Jane Austen,Mystery,8
460,Light Power Winds Quest,Savi Sharma,Mythology,4
461,Silent Power Echoes,R.K. Narayan,Fiction,1
462,Light Secret Legacy,Devdutt Pattanaik,Mythology,8
463,Flames Quest Power The,Ernest Hemingway,Romance,2
464,Silent Edge Light Love,Ravinder Singh,Mythology,3
465,Whispers Edge Dawn,Anita Desai,Fantasy,8
466,Silent Dreams Power,Arthur Conan Doyle,Fiction,6
467,Secret Truth Edge The,R.K. Narayan,Science,9
468,Secret Dreams Love Whispers,Ravinder Singh,Science,8
469,Flames Journey Legacy,George Orwell,Philosophy,10
470,Light Shadow,Kiran Desai,Romance,1
471,Echoes Dawn Silent,Arundhati Roy,Science,2
472,Love Dawn,Kiran Desai,Philosophy,3
473,Whispers Truth Power Edge,Amish Tripathi,Philosophy,9
474,Whispers Edge,Savi Sharma,History,2
475,Shadow Life Light,J.K. Rowling,Spirituality,2
476,Flames Truth,Ruskin Bond,Mythology,9
477,Legacy Echoes Dawn,Arundhati Roy,Romance,10
478,Journey Shadow Silent,Devdutt Pattanaik,Science,2
479,Whispers Flames Dreams Echoes,Dr. A.P.J. Abdul Kalam,Biography,1
480,Truth Dawn Light Whispers,Anita Desai,Mythology,6
481,Life Dawn Love,Ernest Hemingway,Science,7
482,Life Silent Power,Ravinder Singh,Education,7
483,Dawn Winds Life,Leo Tolstoy,Fantasy,8
484,Secret Life,Arundhati Roy,History,6
485,Power Journey,Agatha Christie,Fantasy,4
486,Quest Life Shadow Dawn,Savi Sharma,Science,9
487,Journey Whispers Dreams,Devdutt Pattanaik,Mystery,4
488,Echoes Shadow,Kiran Desai,Romance,10
489,Dawn Life,Charles Dickens,Fiction,4
490,Silent Life,Ruskin Bond,Romance,3
491,Dawn Legacy Love Whispers,Ruskin Bond,History,9
492,Beyond Dawn,Arundhati Roy,Technology,6
493,Power Winds,Jane Austen,Fantasy,3
494,Whispers Light Power,Dr. A.P.J. Abdul Kalam,History,2
495,Edge Whispers,Khushwant Singh,Fiction,7
496,Flames Echoes Shadow,Vikram Seth,Romance,6
497,Echoes Quest Dawn,Arthur Conan Doyle,Science,6
498,Beyond The Flames Dawn,Amish Tripathi,Self-Help,5
499,Dreams Light The,Preeti Shenoy,Technology,4
